City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,2022-05-16 14:39:20,-42.7826,147.0587,44.92,80,44,8.39
1,Sandnessjoen,NO,2022-05-16 14:45:26,66.0217,12.6316,43.32,64,75,8.05
2,Port Alfred,ZA,2022-05-16 14:39:06,-33.5906,26.891,73.18,75,0,1.99
3,Qaanaaq,GL,2022-05-16 14:40:58,77.484,-69.3632,22.86,75,28,6.17
4,Georgetown,MY,2022-05-16 14:40:36,5.4112,100.3354,80.53,93,40,3.44
5,San Quintin,MX,2022-05-16 14:40:37,30.4833,-115.95,60.39,79,88,11.68
6,Tsimlyansk,RU,2022-05-16 14:45:27,47.6461,42.1019,61.59,48,54,11.01
7,Butaritari,KI,2022-05-16 14:44:04,3.0707,172.7902,81.3,76,100,13.76
8,Rikitea,PF,2022-05-16 14:37:36,-23.1203,-134.9692,77.34,69,38,19.84
9,Saint-Philippe,RE,2022-05-16 14:40:38,-21.3585,55.7679,72.99,81,100,12.91
10,Port Elizabeth,ZA,2022-05-16 14:37:44,-33.918,25.5701,86.09,72,0,9.22
11,Beyneu,KZ,2022-05-16 14:45:27,45.3167,55.2,76.15,35,100,16.26
12,Waingapu,ID,2022-05-16 14:45:28,-9.6567,120.2641,79.05,87,19,4.81
13,Busselton,AU,2022-05-16 14:38:54,-33.65,115.3333,62.11,60,100,11.21
14,Clyde River,CA,2022-05-16 14:44:46,70.4692,-68.5914,23.23,93,20,5.75
15,Jamestown,US,2022-05-16 14:37:31,42.097,-79.2353,58.64,94,100,14.97
16,Chongwe,ZM,2022-05-16 14:45:30,-15.3292,28.682,68.34,50,0,6.24
17,Lebu,CL,2022-05-16 14:39:08,-37.6167,-73.65,58.53,49,9,1.34
18,Gat,IL,2022-05-16 14:45:30,31.61,34.7642,77.4,38,100,10.69
19,Guinguineo,SN,2022-05-16 14:45:33,14.2667,-15.95,107.73,11,91,11.77
20,Palasa,IN,2022-05-16 14:45:35,18.7667,84.4167,83.68,84,2,9.06
21,Avarua,CK,2022-05-16 14:45:35,-21.2078,-159.775,75.25,78,75,2.3
22,Ancud,CL,2022-05-16 14:45:36,-41.8697,-73.8203,50.23,61,6,10.13
23,Punta Arenas,CL,2022-05-16 14:37:18,-53.15,-70.9167,37.42,93,0,4.61
24,Pevek,RU,2022-05-16 14:39:19,69.7008,170.3133,23.34,83,100,4.36
25,Ushuaia,AR,2022-05-16 14:37:45,-54.8,-68.3,53.26,40,0,3.44
26,Stillwater,US,2022-05-16 14:41:54,36.1156,-97.0584,70.09,80,0,3.44
27,Nikolskoye,RU,2022-05-16 14:39:09,59.7035,30.7861,51.87,83,100,8.01
28,Bredasdorp,ZA,2022-05-16 14:39:27,-34.5322,20.0403,75.72,25,0,3.13
29,San Policarpo,PH,2022-05-16 14:45:37,12.1791,125.5072,81.46,84,100,9.8
30,Katsuura,JP,2022-05-16 14:40:35,35.1333,140.3,58.53,95,100,14.32
31,Mahebourg,MU,2022-05-16 14:40:57,-20.4081,57.7,77.29,69,75,14.97
32,Kamien Pomorski,PL,2022-05-16 14:45:38,53.9685,14.7726,68.36,61,100,10.33
33,Kamenka,RU,2022-05-16 14:45:39,51.3223,42.7678,53.13,68,54,13.42
34,Dikson,RU,2022-05-16 14:38:54,73.5069,80.5464,33.49,99,100,6.06
35,Atuona,PF,2022-05-16 14:38:51,-9.8,-139.0333,78.08,72,0,15.73
36,Katherine,AU,2022-05-16 14:45:39,-14.4667,132.2667,73.72,43,0,4.61
37,Kamensk-Uralskiy,RU,2022-05-16 14:45:40,56.4185,61.9329,55.45,76,100,9.26
38,Sao Filipe,CV,2022-05-16 14:42:33,14.8961,-24.4956,80.04,58,47,8.55
39,Leinfelden-Echterdingen,DE,2022-05-16 14:45:41,48.6941,9.1681,72.86,67,20,9.22
40,Kipini,KE,2022-05-16 14:45:42,-2.5257,40.5262,82.69,81,11,15.88
41,Hermanus,ZA,2022-05-16 14:44:10,-34.4187,19.2345,73.49,40,10,3.4
42,Vaini,TO,2022-05-16 14:37:12,-21.2,-175.2,71.76,73,20,4.61
43,Mataura,NZ,2022-05-16 14:37:08,-46.1927,168.8643,56.48,74,79,3.56
44,Road Town,VG,2022-05-16 14:45:43,18.4167,-64.6167,84.29,74,40,10.36
45,Thompson,CA,2022-05-16 14:41:43,55.7435,-97.8558,37.56,56,20,10.36
46,Airai,TL,2022-05-16 14:37:06,-8.9266,125.4092,59.16,88,8,1.79
47,Rajshahi,BD,2022-05-16 14:46:45,24.3667,88.6,87.75,64,99,14.16
48,Provideniya,RU,2022-05-16 14:42:47,64.3833,-173.3,30.09,80,10,4.16
49,Yellowknife,CA,2022-05-16 14:42:23,62.456,-114.3525,41.56,56,75,13.8
50,Cherskiy,RU,2022-05-16 14:39:04,68.75,161.3,33.96,88,100,8.88
51,Oxelosund,SE,2022-05-16 14:46:46,58.6706,17.1015,62.89,31,0,6.91
52,Walvis Bay,NA,2022-05-16 14:38:48,-22.9575,14.5053,85.15,32,0,6.91
53,Bluff,NZ,2022-05-16 14:37:04,-46.6,168.3333,56.8,87,97,15.35
54,Kavieng,PG,2022-05-16 14:46:46,-2.5744,150.7967,81.34,75,53,8.01
55,Qostanay,KZ,2022-05-16 14:43:05,53.1667,63.5833,66.49,39,0,20.13
56,Vestmannaeyjar,IS,2022-05-16 14:46:47,63.4427,-20.2734,50.99,81,20,28.77
57,Andros Town,BS,2022-05-16 14:46:48,24.7,-77.7667,80.56,65,99,12.3
