City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Busselton,AU,-33.65,115.3333,61.23,70,93,25.7,light rain
1,Hofn,IS,64.2539,-15.2082,53.62,54,75,14.97,broken clouds
2,East London,ZA,-33.0153,27.9116,58.14,94,0,4.61,clear sky
3,Kindu,CD,-2.95,25.95,71.64,95,100,2.04,light rain
4,Kapaa,US,22.0752,-159.319,77.11,85,56,1.99,broken clouds
5,Dingle,PH,10.9995,122.6711,77.43,89,97,4.27,overcast clouds
6,Atuona,PF,-9.8,-139.0333,77.38,82,24,17.11,light rain
7,Ahipara,NZ,-35.1667,173.1667,59.11,76,98,10.85,overcast clouds
8,Port Elizabeth,ZA,-33.918,25.5701,58.1,74,84,1.52,broken clouds
9,Ushuaia,AR,-54.8,-68.3,38.86,87,0,4.61,clear sky
10,Tyup,KG,42.7276,78.3648,47.71,90,100,4.68,light rain
11,Gizo,SB,-8.103,156.8419,81.81,75,13,4.63,few clouds
12,Jamestown,US,42.097,-79.2353,58.64,93,100,17.27,overcast clouds
13,Puerto Ayora,EC,-0.7393,-90.3518,76.96,77,49,10.65,scattered clouds
14,Vaini,TO,-21.2,-175.2,73.56,94,20,4.61,few clouds
15,San Quintin,MX,30.4833,-115.95,65.44,58,39,11.05,scattered clouds
16,Puerto Madero,MX,14.7208,-92.4215,85.51,68,91,8.7,overcast clouds
17,Faya,SA,18.3851,42.4509,72.73,27,3,4.85,clear sky
18,Rikitea,PF,-23.1203,-134.9692,75.9,76,8,13.96,clear sky
19,Lebu,CL,-37.6167,-73.65,53.15,89,100,11.23,overcast clouds
20,Avarua,CK,-21.2078,-159.775,78.84,78,29,14.12,moderate rain
21,Hobart,AU,-42.8794,147.3294,50.25,84,100,11.5,overcast clouds
22,Mataura,NZ,-46.1927,168.8643,44.26,92,100,7.23,overcast clouds
23,Dikson,RU,73.5069,80.5464,25.11,90,100,9.75,overcast clouds
24,Saskylakh,RU,71.9167,114.0833,33.93,99,100,4.38,overcast clouds
25,Albany,US,42.6001,-73.9662,90.91,50,33,1.01,scattered clouds
26,Zavitinsk,RU,50.1167,129.45,55.15,55,100,17.76,light rain
27,Butaritari,KI,3.0707,172.7902,81.48,81,100,13.98,moderate rain
28,Bluff,NZ,-46.6,168.3333,49.68,72,93,23.55,overcast clouds
29,Muli,MV,2.9167,73.5667,83.59,75,85,12.95,overcast clouds
30,Santiago,CL,-33.4569,-70.6483,70.99,45,100,3.44,overcast clouds
31,Cherskiy,RU,68.75,161.3,48.31,57,80,9.66,broken clouds
32,Castro,BR,-24.7911,-50.0119,66.0,40,2,5.53,clear sky
33,Tokur,RU,53.1333,132.9,34.02,88,97,3.13,overcast clouds
34,Pangody,RU,65.85,74.4859,47.73,74,99,22.39,overcast clouds
35,Georgetown,MY,5.4112,100.3354,82.33,93,20,2.3,few clouds
36,Khatanga,RU,71.9667,102.5,32.07,93,100,7.02,overcast clouds
37,Broome,US,42.2506,-75.833,87.69,55,17,8.01,few clouds
38,Tasiilaq,GL,65.6145,-37.6368,35.76,95,100,8.93,overcast clouds
39,Jijiga,ET,9.35,42.8,71.55,28,52,3.4,broken clouds
40,Thunder Bay,CA,48.4001,-89.3168,48.18,53,75,16.11,broken clouds
41,Curup,ID,-3.4667,102.5333,68.32,98,91,1.28,moderate rain
42,Hermanus,ZA,-34.4187,19.2345,60.84,85,42,8.3,scattered clouds
43,Christchurch,NZ,-43.5333,172.6333,43.0,82,10,5.75,clear sky
44,Mantua,IT,45.1667,10.7833,86.61,62,38,1.99,scattered clouds
45,Pirovskoye,RU,57.6267,92.2658,48.45,68,73,5.93,broken clouds
46,Kavaratti,IN,10.5669,72.642,83.43,80,95,18.03,overcast clouds
47,Gwadar,PK,25.1216,62.3254,85.35,78,0,9.01,clear sky
48,Nanortalik,GL,60.1432,-45.2371,38.52,97,100,9.33,moderate rain
49,Upernavik,GL,72.7868,-56.1549,33.67,97,100,1.7,overcast clouds
50,Barrow,US,71.2906,-156.7887,23.02,86,100,10.36,light snow
51,Pankovka,RU,58.5,31.1999,46.26,49,0,9.4,clear sky
52,Punta Arenas,CL,-53.15,-70.9167,41.11,65,11,14.25,few clouds
53,Pisco,PE,-13.7,-76.2167,67.01,86,89,6.87,overcast clouds
54,Cabo San Lucas,MX,22.8909,-109.9124,84.61,63,2,9.84,clear sky
55,Oranmore,IE,53.2683,-8.92,54.93,80,43,17.25,scattered clouds
56,Vila Velha,BR,-20.3297,-40.2925,73.17,66,42,7.96,scattered clouds
57,Esperance,AU,-33.8667,121.9,64.49,69,39,12.19,scattered clouds
58,Tyret Pervaya,RU,53.6703,102.3106,54.27,71,50,9.1,scattered clouds
59,Broken Hill,AU,-31.95,141.4333,54.59,80,7,6.82,clear sky
60,Badarwas,IN,24.9667,77.5667,92.77,27,7,14.18,clear sky
61,Victoria,HK,22.2855,114.1577,77.38,83,100,17.0,overcast clouds
62,Bara,NG,10.3744,10.7288,87.42,40,65,10.38,light rain
63,Norman Wells,CA,65.282,-126.8329,43.66,55,84,3.89,broken clouds
64,Chuy,UY,-33.6971,-53.4616,64.35,52,0,4.43,clear sky
65,Bethel,US,41.3712,-73.414,91.35,62,62,1.99,broken clouds
66,Carnarvon,AU,-24.8667,113.6333,71.13,60,92,16.84,overcast clouds
67,Santa Barbara,US,34.7333,-120.0343,62.35,67,0,4.61,clear sky
68,New Norfolk,AU,-42.7826,147.0587,49.91,82,99,2.48,overcast clouds
69,San Cristobal,VE,7.7669,-72.225,84.25,40,15,9.75,few clouds
70,Baykit,RU,61.67,96.37,48.63,90,4,4.07,clear sky
71,Touros,BR,-5.1989,-35.4608,82.4,73,36,14.72,scattered clouds
72,Khuzhir,RU,53.1939,107.3397,44.15,87,82,3.56,broken clouds
73,Coahuayana,MX,18.7333,-103.6833,89.73,47,49,7.72,scattered clouds
74,Nowy Dwor Gdanski,PL,54.2131,19.1177,55.17,89,91,7.81,overcast clouds
75,Cape Town,ZA,-33.9258,18.4232,65.37,77,45,1.01,scattered clouds
76,Sena Madureira,BR,-9.0656,-68.6569,83.32,62,43,1.48,scattered clouds
77,Cookeville,US,36.1628,-85.5016,78.64,76,20,5.75,few clouds
