City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
4,Kapaa,US,77.11,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,Dingle,PH,77.43,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
6,Atuona,PF,77.38,light rain,-9.8,-139.0333,Villa Enata
11,Gizo,SB,81.81,few clouds,-8.103,156.8419,Imagination Island
13,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
16,Puerto Madero,MX,85.51,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
18,Rikitea,PF,75.9,clear sky,-23.1203,-134.9692,People ThankYou
20,Avarua,CK,78.84,moderate rain,-21.2078,-159.775,Paradise Inn
27,Butaritari,KI,81.48,moderate rain,3.0707,172.7902,Isles Sunset Lodge
29,Muli,MV,83.59,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
35,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
37,Broome,US,87.69,few clouds,42.2506,-75.833,Chenango Valley State Park
44,Mantua,IT,86.61,scattered clouds,45.1667,10.7833,Hotel la Favorita
46,Kavaratti,IN,83.43,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
47,Gwadar,PK,85.35,clear sky,25.1216,62.3254,Sadaf Resort
54,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
61,Victoria,HK,77.38,overcast clouds,22.2855,114.1577,Mini Central
69,San Cristobal,VE,84.25,few clouds,7.7669,-72.225,Pirineos
71,Touros,BR,82.4,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
73,Coahuayana,MX,89.73,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
76,Sena Madureira,BR,83.32,scattered clouds,-9.0656,-68.6569,Hotel Central
77,Cookeville,US,78.64,few clouds,36.1628,-85.5016,La Quinta Inn & Suites by Wyndham Cookeville
78,Port Hedland,AU,78.85,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
82,Matara,LK,78.89,clear sky,5.9485,80.5353,Amaloh Boutique Resort
89,Crossville,US,81.18,broken clouds,35.949,-85.0269,Hampton Inn Crossville
91,Mahebourg,MU,75.49,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
95,Mitsamiouli,KM,81.05,scattered clouds,-11.3847,43.2844,Foyer ADM
103,Kavieng,PG,82.58,broken clouds,-2.5744,150.7967,Nusa Island Retreat
105,Sabha,LY,82.13,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
